Status,Ingredient,Product Name,ASIN,Confidence,Alias Group,Issues,Notes,Action Needed,Link
NEEDS-REVIEW,"ground chicken","Fresh Is Best Freeze Dried Chicken Breast",B0BXZVFN6G,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
NEEDS-REVIEW,"ground beef (lean)","US Wellness Meats Pet Burger",B07VHR2WNZ,LOW,,"CONFLICT: Conflict detected: venison and beef are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"ground lamb","Raw Paws Lamb Recipe Rolls",B0082C00P8,HIGH,,"Dead link (HTTP 405)","❌ NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"chicken hearts","Vital Essentials Freeze Dried Chicken Hearts",B0BXZ3JJL9,LOW,,"CONFLICT: Conflict detected: turkey and chicken are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"sardines (canned in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,LOW,,"CONFLICT: Conflict detected: herring and sardines are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"turkey giblets","Vital Essentials Freeze Dried Turkey Giblets",B0BXZ3JJL9,LOW,,"CONFLICT: Conflict detected: turkey and chicken are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
NEEDS-REVIEW,"chicken giblets","Fresh Is Best Freeze Dried Chicken Giblets",B0BXZVFN6G,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
NEEDS-REVIEW,"venison","Fresh Is Best Freeze Dried Venison Bites",B07VHR2WNZ,LOW,,"CONFLICT: Conflict detected: venison and beef are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
AUTO-INVALID,"rabbit meat","Evanger's Rabbit Grain Free Cans",B0082C00P8,HIGH,,"Dead link (HTTP 405)","❌ NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
NEEDS-REVIEW,"kale","Earthbound Farm Organic Kale",B09VKDGT39,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
NEEDS-REVIEW,"celery","Earthbound Farm Organic Celery",B09VKDGT39,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
AUTO-INVALID,"endive","Organic Endive Greens",B0006L2XNK,HIGH,,"Dead link (HTTP 405)","❌ NEEDS REPLACEMENT - Link is dead",FIND NEW ASIN,https://www.amazon.com/dp/B0006L2XNK?tag=robinfrench-20
NEEDS-REVIEW,"collard greens","Organic Collard Greens",B09HQH6WZT,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B09HQH6WZT?tag=robinfrench-20
