Priority,Ingredient,Product Name,ASIN,Issue,Verified,Notes,Link
HIGH,"ground beef (lean)","US Wellness Meats Pet Burger",B07VHR2WNZ,"Beef and venison are different meats",PENDING,,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
HIGH,"ground lamb","Raw Paws Lamb Recipe Rolls",B0082C00P8,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
HIGH,"chicken hearts","Vital Essentials Freeze Dried Chicken Hearts",B0BXZ3JJL9,"Chicken and turkey are different poultry",PENDING,,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
HIGH,"sardines (canned in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
HIGH,"turkey giblets","Vital Essentials Freeze Dried Turkey Giblets",B0BXZ3JJL9,"Chicken and turkey are different poultry",PENDING,,https://www.amazon.com/dp/B0BXZ3JJL9?tag=robinfrench-20
HIGH,"venison","Fresh Is Best Freeze Dried Venison Bites",B07VHR2WNZ,"Beef and venison are different meats",PENDING,,https://www.amazon.com/dp/B07VHR2WNZ?tag=robinfrench-20
HIGH,"rabbit meat","Evanger's Rabbit Grain Free Cans",B0082C00P8,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0082C00P8?tag=robinfrench-20
HIGH,"endive","Organic Endive Greens",B0006L2XNK,"Dead link (HTTP 405) - needs replacement",DEAD,,https://www.amazon.com/dp/B0006L2XNK?tag=robinfrench-20
HIGH,"canary seed","Lafeber's Parrot Food Canary Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"niger seed","Lafeber's Parrot Food Niger Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"oat groats","Lafeber's Parrot Food Oat Groats",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"hemp seeds","Lafeber's Parrot Food Hemp Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"flaxseeds","Lafeber's Parrot Food Flax Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"sesame seeds","Lafeber's Parrot Food Sesame Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"chia seeds","Lafeber's Parrot Food Chia Seed",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"rapeseed","Lafeber's Parrot Food Rapeseed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"sunflower seeds (small amounts)","Lafeber's Parrot Food Sunflower Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"pumpkin seeds","Lafeber's Parrot Food Pumpkin Seed",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"mango","Organic Mango",B00WM6CHFQ,"Mango and chia oil are completely different",PENDING,,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
HIGH,"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats",B0BWBNT8JX,"Eggs and duck hearts are different",PENDING,,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
HIGH,"pellets (fortified)","Lafeber's Parrot Food Pellets",B086211R4H,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
HIGH,"cuttlebone","Lafeber's Parrot Food Cuttlebone",B00027ZVG4,"Multiple seed types - verify if seed mix is appropriate",PENDING,,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
HIGH,"duck hearts","Vital Essentials Freeze Dried Duck Hearts",B0BWBNT8JX,"Eggs and duck hearts are different",PENDING,,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
HIGH,"herring (canned)","Crown Prince Canned Herring",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
HIGH,"chia seed oil","Healthworks Organic Chia Seed Oil",B00WM6CHFQ,"Mango and chia oil are completely different",PENDING,,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
HIGH,"sardines (in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,"Sardines and herring are different fish",PENDING,,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
MEDIUM,"ground chicken","Fresh Is Best Freeze Dried Chicken Breast",B0BXZVFN6G,"Shared with: chicken giblets",PENDING,,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
MEDIUM,"chicken giblets","Fresh Is Best Freeze Dried Chicken Giblets",B0BXZVFN6G,"Shared with: ground chicken",PENDING,,https://www.amazon.com/dp/B0BXZVFN6G?tag=robinfrench-20
MEDIUM,"brown rice","Lundberg Family Farms Organic Brown Rice",B072JNNB33,"Shared with: rice (hulled)",PENDING,,https://www.amazon.com/dp/B072JNNB33?tag=robinfrench-20
MEDIUM,"kale","Earthbound Farm Organic Kale",B09VKDGT39,"Shared with: celery",PENDING,,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
MEDIUM,"celery","Earthbound Farm Organic Celery",B09VKDGT39,"Shared with: kale",PENDING,,https://www.amazon.com/dp/B09VKDGT39?tag=robinfrench-20
MEDIUM,"lettuce (romaine)","Organic Girl Romaine Lettuce",B0F3YTY4XQ,"Shared with: romaine lettuce",PENDING,,https://www.amazon.com/dp/B0F3YTY4XQ?tag=robinfrench-20
MEDIUM,"salmon oil","Grizzly Salmon Plus Omega-3 Oil",B09RYYWHH1,"Shared with: omega-3 oil",PENDING,,https://www.amazon.com/dp/B09RYYWHH1?tag=robinfrench-20
MEDIUM,"fish oil","Nordic Naturals Omega-3 Pet",B00CBY93XS,"Shared with: herring oil",PENDING,,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
