rank,ingredient,amount_usd,asin,url,lastUpdated
1,joint supplement,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T20:51:42.585Z
2,chondroitin sulfate,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:05:53.676Z
3,glucosamine sulfate,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:06:36.710Z
4,joint health supplement,36.97,B003ULL1NQ,https://www.amazon.com/dp/B003ULL1NQ?tag=robinfrench-20,2025-12-12T21:07:09.362Z
5,bermuda hay,36.80,B0FSVM5P3D,https://www.amazon.com/dp/B0FSVM5P3D?tag=robinfrench-20,2025-12-12T21:05:00.772Z
6,plums (pitted),35.99,B07P6Z8L76,https://www.amazon.com/dp/B07P6Z8L76?tag=robinfrench-20,2025-12-12T21:03:22.560Z
7,mackerel (canned),35.52,B017J9X8IA,https://www.amazon.com/dp/B017J9X8IA?tag=robinfrench-20,2025-12-12T20:56:09.986Z
8,orchard grass hay,34.99,B00S6Y8MHU,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20,2025-12-12T20:55:03.558Z
9,anchovy oil,34.99,B0FDNB2DVS,https://www.amazon.com/dp/B0FDNB2DVS?tag=robinfrench-20,2025-12-12T20:57:06.500Z
10,"barley (cooked, minimal)",34.99,B00QKP257A,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20,2025-12-12T20:59:06.108Z
11,barley (hulled),34.99,B00QKP257A,https://www.amazon.com/dp/B00QKP257A?tag=robinfrench-20,2025-12-12T20:59:10.692Z
12,bluegrass hay,34.99,B00S6Y8MHU,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20,2025-12-12T21:04:46.822Z
13,mackerel oil,34.95,B01NBTJFJB,https://www.amazon.com/dp/B01NBTJFJB?tag=robinfrench-20,2025-12-12T20:57:16.222Z
14,malabar spinach,34.00,B0DLT7BSNJ,https://www.amazon.com/dp/B0DLT7BSNJ?tag=robinfrench-20,2025-12-12T21:07:23.821Z
15,probiotic powder,33.99,B0BGV8L7L2,https://www.amazon.com/dp/B0BGV8L7L2?tag=robinfrench-20,2025-12-12T20:51:32.894Z
16,algae oil (dha),33.11,B079J5YZSS,https://www.amazon.com/dp/B079J5YZSS?tag=robinfrench-20,2025-12-12T20:57:53.790Z
17,wheat germ oil,30.99,B001GAOHK2,https://www.amazon.com/dp/B001GAOHK2?tag=robinfrench-20,2025-12-12T20:57:44.060Z
